customerid,num_prev_loans,late_payment_rate,max_late_days,ever_late_flag,ever_late_30d_flag,avg_prev_totaldue_to_loanamount,latest_prev_closeddate
8a1088a0484472eb01484669e3ce4e0b,1,1.0,6,1,0,1.15,2017-07-24 20:50:43
8a1a1e7e4f707f8b014f797718316cad,4,0.25,1,1,0,1.28125,2017-07-26 19:48:11
8a1a32fc49b632520149c3b8fdf85139,7,0.14285714285714285,1,1,0,1.1714285714285713,2017-07-13 18:45:26
8a1eb5ba49a682300149c3c068b806c7,8,0.125,8,1,0,1.25875,2017-07-12 13:02:44
8a1edbf14734127f0147356fdb1b1eb2,2,0.0,0,0,0,1.225,2017-06-27 18:13:52
8a26bd845089f1d7015090b1d6f53bad,9,0.4444444444444444,30,1,0,1.2294444444444443,2017-07-26 18:49:03
8a28afc7474813a40147639ec637156b,10,0.0,0,0,0,1.2,2017-07-26 09:11:44
8a2a81a74ce8c05d014cfb32a0da1049,11,0.2727272727272727,39,1,1,1.229090909090909,2017-07-25 08:14:36
8a2ac4745091002b0150a144bcbe58b7,7,0.0,0,0,0,1.2319047619047618,2017-07-30 09:12:16
8a2ad9ce4c453e06014c4b3175e52407,1,0.0,0,0,0,1.225,2017-07-14 15:32:09
8a33a06e4a5075c2014a5295aa0c2224,8,0.375,16,1,0,1.24375,2017-07-18 17:15:18
8a3442825124396701513514dad40fa7,9,0.0,0,0,0,1.1316666666666666,2017-07-09 09:17:24
8a3735d5518aba7301518ac34413010d,6,0.16666666666666666,2,1,0,1.2625,2017-06-27 10:30:57
8a390a2150ad97330150aebdd8ef7456,8,0.25,1,1,0,1.1682291666666667,2017-07-15 14:42:06
8a399f284741b63b0147496a04db1eb4,1,1.0,19,1,0,1.3,2017-07-26 20:53:08
8a688b474ed5e088014ed8b6c50c5f51,2,0.0,0,0,0,1.15,2017-07-01 07:59:05
8a6a96044539adf801453c576ed213c4,15,0.06666666666666667,1,1,0,1.1374444444444445,2017-04-30 21:49:16
8a6b87fe4d56512d014d57af446e7ad0,1,0.0,0,0,0,1.15,2017-07-12 16:01:10
8a76e7d443e6e97c0143ed099d102b1d,2,0.0,0,0,0,1.15,2016-07-13 13:43:10
8a76e7d443e6e97c0143ed0a1f4d5331,4,0.0,0,0,0,1.28125,2017-07-12 19:30:38
8a76e7d443e6e97c0143ed0a33375981,1,0.0,0,0,0,1.3,2017-07-28 21:19:55
8a818823525dceef01525deda2480384,9,0.2222222222222222,4,1,0,1.255925925925926,2017-07-03 14:11:07
8a81890b51d31db90151d5fd989c1dbd,1,1.0,24,1,0,1.3,2017-06-29 22:28:42
8a818926522ea5ef01523aff15c37482,2,1.0,9,1,0,1.3,2016-04-07 00:02:09
8a81894c529babae0152a10bafeb6895,3,0.3333333333333333,7,1,0,1.2166666666666666,2017-07-26 19:42:54
8a8189a552638e13015264cf62312966,1,0.0,0,0,0,1.15,2016-02-09 00:05:50
8a8189d152443f820152443f89500001,12,0.6666666666666666,51,1,1,1.2533333333333334,2017-06-29 10:52:47
8a8189f9526ad7de015280bef19d5811,12,0.08333333333333333,9,1,0,1.2072916666666667,2017-07-08 19:24:04
8a85880353acff880153b23e3c742a08,11,0.0,0,0,0,1.127878787878788,2017-07-05 18:13:34
8a85880353acff880153b3c9f0d641b0,15,0.13333333333333333,26,1,0,1.1691666666666667,2017-07-25 20:09:13
8a85880353acff880153b4d53d6b45db,12,0.16666666666666666,6,1,0,1.209861111111111,2017-07-03 12:30:39
8a85880353acff880153b4d9bf104630,14,0.2857142857142857,35,1,1,1.1508673469387756,2017-07-18 18:24:08
8a85880353acff880153b92f8599568b,6,0.0,0,0,0,1.2258333333333333,2017-07-16 21:51:23
8a85880353acff880153b9993fe358d9,8,0.25,1,1,0,1.1702083333333333,2017-06-20 10:27:46
8a85880353acff880153bd56e93f75ff,3,0.0,0,0,0,1.2,2017-07-04 20:09:46
8a85881053bc33670153bda8562417c7,1,0.0,0,0,0,1.3,2017-07-26 09:59:29
8a85881053bc33670153c0ff6d6a38b9,10,0.3,23,1,0,1.1159166666666667,2017-07-07 13:12:52
8a85881053bc33670153c1f814696fb8,2,0.5,13,1,0,1.15,2016-06-09 00:03:56
8a85881053bc33670153c5ffe58162b8,2,0.0,0,0,0,1.3,2017-06-15 23:59:21
8a85881053bc33670153c65bdb937097,9,0.2222222222222222,1,1,0,1.1966666666666665,2017-06-23 18:08:09
8a85881053bc33670153c762675d3e71,6,0.16666666666666666,3,1,0,1.2066666666666668,2017-07-24 07:42:46
8a85881053bc33670153c79e8e84571a,1,0.0,0,0,0,1.3,2016-04-29 00:04:06
8a85881053bc33670153c7a0e6ee582e,11,0.2727272727272727,15,1,0,1.1893939393939394,2017-07-13 08:17:43
8a85881053bc33670153c7a4d2685aa0,7,0.42857142857142855,10,1,0,1.2410714285714286,2017-06-15 12:04:13
8a85881053bc33670153c7b62bef61ca,11,0.18181818181818182,4,1,0,1.1551515151515153,2017-07-17 09:59:42
8a85881053bc33670153c842d8990da3,5,0.0,0,0,0,1.1724999999999999,2017-07-08 12:05:05
8a85881053bc33670153c9dc2e3a4393,9,0.1111111111111111,1,1,0,1.2364814814814815,2017-07-26 07:35:25
